NINDEX,sta,ngroups,elev,lat,lon,descr,lddate,DNORTH,DEAST,REFSTA,STANAME,COD,STATYPE,UNDERGROUND,ONDATE,OFFDATE
391,SS24,1,0,59.269138,56.639172,,"2011-11-29 11:05:00",0,0,,,,NULL,,2011-09-01,NULL
392,SS25,1,0,59.269199,56.639599,,"2011-11-29 11:07:00",0,0,,,,NULL,,2011-09-01,NULL
348,SUW,1,152,54.012501,23.180799,,"2006-11-26 11:22:00",0,0,,,SUW,NULL,,1995-01-01,NULL
343,SVE,4,278,56.827,60.632,,"2021-09-02 06:35:15",0,0,,Sverdlovsk,,NULL,,2005-03-22,NULL
363,SVUR,7,-139.3,60.1985,59.9778,?????????????,"2021-12-14 14:06:05",0,0,,Severouralsk,SVUR,NULL,?????????,2007-06-06,NULL
334,SYK,5,127,61.670799,50.824699,,"2012-12-25 08:13:00",0,0,,,,NULL,,NULL,NULL
502,SYK0,1,127,61.670799,50.824699,,"2024-01-10 11:32:21",0,0,,Syktyvkar,,NULL,,2023-01-01,NULL
72,TAL,2,550,51.5,103.5,NULL,"1999-04-06 20:29:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,TAS,1,470,41.33340072631836,69.30010223388672,NULL,"1999-01-21 06:25:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
480,TBR1,2,164,58.7098,56.8711,,"2020-07-20 07:51:32",0,0,,Tabory-1,,NULL,,2019-08-23,NULL
481,TBR2,2,172,58.7636,56.9045,,"2020-07-20 07:52:10",0,0,,Tabory-2,,NULL,,2019-08-23,NULL
489,TBR3,1,194,58.6365,56.9987,,"2020-07-20 07:54:14",0,0,,,,NULL,,2020-06-25,NULL
490,TBR4,1,170,58.6876,57.012,,"2020-07-20 07:55:07",0,0,,,,NULL,,2020-06-25,NULL
66,TIXI,4,40,71.649,128.866,,"2015-01-14 05:40:00",0,0,,,,NULL,,2014-09-21,NULL
329,TLG,1,1120,43.233001708984375,77.2249984741211,NULL,"2004-03-03 09:16:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
460,TLK,1,160,52.558102,53.278599,"?. ?????????","2016-02-15 08:40:00",0,0,,,,NULL,,2008-03-26,NULL
51,TLY,2,579,51.680698,103.643997,,"2012-02-13 06:12:00",0,0,,,,NULL,,NULL,NULL
341,TMC,1,23,64.1500015258789,38.029998779296875,NULL,"2004-10-05 18:13:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,TPS,1,0,44.078098,39.096199,,"2012-08-01 02:44:00",0,0,,,,NULL,,2012-06-05,NULL
451,TRC,1,69,51.64,54.26,"????????, ????????","2020-04-09 05:56:18",0,0,,"Orenburg, Troitskoye",,NULL,????????,2011-12-20,NULL
8,TRTE,2,100,58.37860107421875,26.720500946044922,NULL,"2001-09-28 12:14:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
401,TSP,1,0,45,45,,"2012-06-05 03:43:00",0,0,,,,NULL,,2012-06-05,NULL
75,TXAR,1,1013,29.333799362182617,-103.66699981689453,NULL,"1999-08-05 11:05:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
468,U01,1,126,53.660782,56.070339,,"2018-09-10 09:59:19",0,0,,,,NULL,,2018-01-01,NULL
469,U02,1,125,53.657669,56.072208,,"2018-09-10 10:00:17",0,0,,,,NULL,,2018-01-01,NULL
470,U04,1,128,53.6563,56.07185,,"2018-09-10 10:04:37",0,0,,,,NULL,,2018-01-01,NULL
471,U07,1,127,53.639568,56.082748,,"2018-09-10 10:05:32",0,0,,,,NULL,,2018-01-01,NULL
369,U66,4,150,58,58,????,"2008-09-04 03:42:00",0,0,,Ugra,,NULL,,2008-09-04,NULL
457,UGR24,1,113,56.1815,40.8647,"???????????? ???.","2015-10-26 13:19:00",0,0,,"Vladimirskaya obl.",,NULL,,2013-01-01,NULL
378,UGRA83,4,0,62.330002,50.689999,,"2011-04-26 09:48:00",0,0,,,,NULL,,2011-04-26,NULL
69,ULN,2,1615,47.8652,107.053001,,"2012-02-13 06:13:00",0,0,,,,NULL,,NULL,NULL
260,UNV,1,0,45,45,NULL,"2002-11-12 19:03:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,UZH,1,165,48.633,22.3,???????,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
445,VAL,1,24,61.36109924316406,30.887399673461914,NULL,"2015-01-13 14:17:00",0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
501,VOCH,1,149,61.205101,54.161499,,"2024-01-10 10:28:50",0,0,,,,NULL,,2023-10-17,NULL
326,VOS,1,300,52.723201751708984,70.97969818115234,NULL,"2004-03-03 09:29:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
